from_name,to_name
UK,United Kingdom
U.S. Virgin Islands,US Virgin Islands
United States,United States of America
USA,United States of America
Faroe Islands,Faeroe Islands
The Democratic Republic Of Congo,The Democratic Republic of Congo
Svalbard & Jan Mayen Islands,Svalbard and Jan Mayen
