from_name,to_name
William A. Wellman,William Augustus Wellman
Alejandro G. Iñárritu,Alejandro González Iñárritu
Ryûsuke Hamaguchi,Ryusuke Hamaguchi
Topol,Chaim Topol
W.S. Van Dyke,W. S. Van Dyke
Krzysztof Kieslowski,Krzysztof Kieślowski
Milos Forman,Miloš Forman
Hector Babenco,Héctor Babenco
Timothée Chalamet,Timothée Hal Chalamet
Michael Cacoyannis,Michalis Cacoyannis
Bong Joon Ho,Bong Joon-ho
Charles Chaplin,Charlie Chaplin
Gilbert M. 'Broncho Billy' Anderson,Broncho Billy Anderson
