Rank	Title	Worldwide Lifetime Gross	Domestic Lifetime Gross	 Domestic % 	Foreign Lifetime Gross	 Foreign % 	Year
984	Analyze This	176885658	106885658	 0.60 	70000000	 0.40 	1999
985	The Hitman's Bodyguard	176600207	75468583	 0.43 	101131624	 0.57 	2017
986	Looper	176506819	66486205	 0.38 	110020614	 0.62 	2012
987	Serial (Bad) Weddings	176404493	0	0.00	176404493	 1.00 	2014
988	Ip Man 4: The Finale	176345966	3956031	 0.02 	172389935	 0.98 	2019
989	Dr Dolittle 2	176104344	112952899	 0.64 	63151445	 0.36 	2001
990	The Italian Job	176070171	106128601	 0.60 	69941570	 0.40 	2003
991	The Bucket List	175372502	93466502	 0.53 	81906000	 0.47 	2007
992	Sleeping with the Enemy	174999005	101599005	 0.58 	73400000	 0.42 	1991
993	Cowboys & Aliens	174822325	100240551	 0.57 	74581774	 0.43 	2011
994	The Mule	174804407	103804407	 0.59 	71000000	 0.41 	2018
995	George of the Jungle	174463257	105263257	 0.60 	69200000	 0.40 	1997
996	Evan Almighty	174440724	100462298	 0.58 	73978426	 0.42 	2007
997	Amélie	174118254	33225499	 0.19 	140892755	 0.81 	2001
998	Identity Thief	173965010	134506920	 0.77 	39458090	 0.23 	2013
999	The Nutcracker and the Four Realms	173961069	54858851	 0.32 	119102218	 0.68 	2018
1000	Big Momma's House	173959438	117559438	 0.68 	56400000	 0.32 	2000
