Rank	Title	Worldwide Lifetime Gross	Domestic Lifetime Gross	 Domestic % 	Foreign Lifetime Gross	 Foreign % 	Year
51	Despicable Me 2	970766005	368065385	 0.38 	602700620	 0.62 	2013
52	The Jungle Book	966554929	364001123	 0.38 	602553806	 0.62 	2016
53	Jumanji: Welcome to the Jungle	962542945	404540171	 0.42 	558002774	 0.58 	2017
54	The Hobbit: The Battle of the Five Armies	962182865	255119788	 0.27 	707063077	 0.73 	2014
55	Pirates of the Caribbean: At World's End	960996492	309420425	 0.32 	651576067	 0.68 	2007
56	The Hobbit: The Desolation of Smaug	959007513	258366855	 0.27 	700640658	 0.73 	2013
57	The Lord of the Rings: The Two Towers	947495095	342551365	 0.36 	604943730	 0.64 	2002
58	Harry Potter and the Order of the Phoenix	942172396	292353413	 0.31 	649818983	 0.69 	2007
59	Finding Nemo	940352645	380843261	 0.41 	559509384	 0.59 	2003
60	Harry Potter and the Half0Blood Prince	934454096	302305431	 0.32 	632148665	 0.68 	2009
61	Shrek 2	928760770	441226247	 0.48 	487534523	 0.52 	2004
62	Bohemian Rhapsody	910809311	216668042	 0.24 	694141269	 0.76 	2018
63	The Battle at Lake Changjin	902540935	342411	 0.00 	902198524	 1.00 	2021
64	The Lord of the Rings: The Fellowship of the Ring	898094742	316115420	 0.35 	581979322	 0.65 	2001
65	Harry Potter and the Goblet of Fire	896678241	290417905	 0.32 	606260336	 0.68 	2005
66	Spider0Man 3	894983373	336530303	 0.38 	558453070	 0.62 	2007
67	Ice Age 3: Dawn of the Dinosaurs	886686817	196573705	 0.22 	690113112	 0.78 	2009
68	Spectre	880681519	200074609	 0.23 	680606910	 0.77 	2015
69	Spider0Man: Homecoming	880166924	334201140	 0.38 	545965784	 0.62 	2017
70	Harry Potter and the Chamber of Secrets	879602366	262450136	 0.30 	617152230	 0.70 	2002
71	Ice Age 4: Continental Drift	877244782	161321843	 0.18 	715922939	 0.82 	2012
72	The Secret Life of Pets	875458631	368384330	 0.42 	507074301	 0.58 	2016
73	Batman v Superman: Dawn of Justice	873637528	330360194	 0.38 	543277334	 0.62 	2016
74	Wolf Warrior 2	870325439	2721100	 0.00 	867604339	 1.00 	2017
75	Star Wars: Episode III 0 Revenge of the Sith	868390560	380270577	 0.44 	488119983	 0.56 	2005
76	The Hunger Games: Catching Fire	865011746	424668047	 0.49 	440343699	 0.51 	2013
77	Guardians of the Galaxy Vol 2	863756051	389813101	 0.45 	473942950	 0.55 	2017
78	Inside Out	858848019	356921711	 0.42 	501926308	 0.58 	2015
79	Venom	856085151	213515506	 0.25 	642569645	 0.75 	2018
80	Thor: Ragnarok	853983911	315058289	 0.37 	538925622	 0.63 	2017
81	Inception	836836967	292576195	 0.35 	544260772	 0.65 	2010
82	Transformers: Revenge of the Fallen	836303693	402111870	 0.48 	434191823	 0.52 	2009
83	The Twilight Saga: Breaking Dawn 0 Part 2	829747654	292324737	 0.35 	537422917	 0.65 	2012
84	Spider0Man	825025036	407022860	 0.49 	418002176	 0.51 	2002
85	Wonder Woman	822824522	412815408	 0.50 	410009114	 0.50 	2017
86	Hi Mom	822009764	0	0.00	822009764	 1.00 	2021
87	Independence Day	817400891	306169268	 0.37 	511231623	 0.63 	1996
88	Fantastic Beasts and Where to Find Them	814044001	234037575	 0.29 	580006426	 0.71 	2016
89	Shrek the Third	813367380	322719944	 0.40 	490647436	 0.60 	2007
90	Coco	807817888	210460015	 0.26 	597357873	 0.74 	2017
91	Jumanji: The Next Level	800059707	320314960	 0.40 	479744747	 0.60 	2019
92	Harry Potter and the Prisoner of Azkaban	797361618	249975996	 0.31 	547385622	 0.69 	2004
93	Pirates of the Caribbean: Dead Men Tell No Tales	794881442	172558876	 0.22 	622322566	 0.78 	2017
94	ET the Extra0Terrestrial	792910554	435110554	 0.55 	357800000	 0.45 	1982
95	Mission: Impossible 0 Fallout	791657398	220159104	 0.28 	571498294	 0.72 	2018
96	2012	791217826	166112167	 0.21 	625105659	 0.79 	2009
97	Indiana Jones and the Kingdom of the Crystal Skull	790653942	317101119	 0.40 	473552823	 0.60 	2008
98	Spider0Man 2	788976453	373585825	 0.47 	415390628	 0.53 	2004
99	Fast & Furious 6	788680968	238679850	 0.30 	550001118	 0.70 	2013
100	Deadpool 2	785896609	324591735	 0.41 	461304874	 0.59 	2018
101	Deadpool	782836791	363070709	 0.46 	419766082	 0.54 	2016
102	Star Wars: Episode IV 0 A New Hope	775398007	460998507	 0.59 	314399500	 0.41 	1977
103	No Time to Die	774153007	160891007	 0.21 	613262000	 0.79 	2021
104	Guardians of the Galaxy	773350147	333718600	 0.43 	439631547	 0.57 	2014
105	The Da Vinci Code	760006945	217536138	 0.29 	542470807	 0.71 	2006
106	Fast & Furious Presents: Hobbs & Shaw	759056935	173956935	 0.23 	585100000	 0.77 	2019
107	Maleficent	758411779	241410378	 0.32 	517001401	 0.68 	2014
108	The Amazing Spider0Man	757930663	262030663	 0.35 	495900000	 0.65 	2012
109	The Hunger Games: Mockingjay 0 Part 1	755356711	337135885	 0.45 	418220826	 0.55 	2014
110	Shrek Forever After	752600867	238736787	 0.32 	513864080	 0.68 	2010
111	Madagascar 3: Europe's Most Wanted	746921274	216391482	 0.29 	530529792	 0.71 	2012
112	Suicide Squad	746846894	325100054	 0.44 	421746840	 0.56 	2016
113	X0Men: Days of Future Past	746045700	233921534	 0.31 	512124166	 0.69 	2014
114	The Chronicles of Narnia: The Lion the Witch and the Wardrobe	745013115	291710957	 0.39 	453302158	 0.61 	2005
115	Monsters University	743559645	268492764	 0.36 	475066881	 0.64 	2013
116	The Matrix Reloaded	741847937	281576461	 0.38 	460271476	 0.62 	2003
117	Up	735099102	293004164	 0.40 	442094938	 0.60 	2009
118	Ne Zha	726264074	3695533	 0.01 	722568541	 0.99 	2019
119	F9: The Fast Saga	726229501	173005945	 0.24 	553223556	 0.76 	2021
120	Gravity	723192705	274092705	 0.38 	449100000	 0.62 	2013
121	Captain America: The Winter Soldier	714421503	259766572	 0.36 	454654931	 0.64 	2014
122	The Twilight Saga: Breaking Dawn 0 Part 1	712205856	281287133	 0.39 	430918723	 0.61 	2011
123	The Twilight Saga: New Moon	711025481	297816253	 0.42 	413209228	 0.58 	2009
124	Dawn of the Planet of the Apes	710644566	208545589	 0.29 	502098977	 0.71 	2014
125	Transformers	709709780	319246193	 0.45 	390463587	 0.55 	2007
126	The Amazing Spider0Man 2	708982323	202853933	 0.29 	506128390	 0.71 	2014
127	It	701796444	328828874	 0.47 	372967570	 0.53 	2017
128	Interstellar	701729206	188020017	 0.27 	513709189	 0.73 	2014
129	The Wandering Earth	699992512	5971413	 0.01 	694021099	 0.99 	2019
130	The Twilight Saga: Eclipse	698491347	300531751	 0.43 	397959596	 0.57 	2010
131	Mission: Impossible 0 Ghost Protocol	694713380	209397903	 0.30 	485315477	 0.70 	2011
132	The Hunger Games	694394724	408010692	 0.59 	286384032	 0.41 	2012
133	Detective Chinatown 3	686257563	0	0.00	686257563	 1.00 	2021
134	Mission: Impossible 0 Rogue Nation	682716636	195042377	 0.29 	487674259	 0.71 	2015
135	Forrest Gump	678226133	330455270	 0.49 	347770863	 0.51 	1994
136	Doctor Strange	677796076	232641920	 0.34 	445154156	 0.66 	2016
137	The Sixth Sense	672806432	293506292	 0.44 	379300140	 0.56 	1999
138	Man of Steel	668045518	291045518	 0.44 	377000000	 0.56 	2013
139	Ice Age 2: The Meltdown	667094506	195330621	 0.29 	471763885	 0.71 	2006
140	Kung Fu Panda 2	665692281	165249063	 0.25 	500443218	 0.75 	2011
141	The Hunger Games: Mockingjay 0 Part 2	658344137	281723902	 0.43 	376620235	 0.57 	2015
142	Justice League	657926987	229024295	 0.35 	428902692	 0.65 	2017
143	Big Hero 6	657869686	222527828	 0.34 	435341858	 0.66 	2014
144	Fantastic Beasts: The Crimes of Grindelwald	654855901	159555901	 0.24 	495300000	 0.76 	2018
145	Pirates of the Caribbean: The Curse of the Black Pearl	654264015	305413918	 0.47 	348850097	 0.53 	2003
146	Star Wars: Episode II 0 Attack of the Clones	653779970	310676740	 0.48 	343103230	 0.52 	2002
147	Thor: The Dark World	644783140	206362140	 0.32 	438421000	 0.68 	2013
148	Moana	644136488	248757044	 0.39 	395379444	 0.61 	2016
149	Sing	634208384	270448425	 0.43 	363759959	 0.57 	2016
150	Kung Fu Panda	631746197	215434591	 0.34 	416311606	 0.66 	2008
151	The Incredibles	631607053	261441092	 0.41 	370165961	 0.59 	2004
152	The Martian	630162448	228433663	 0.36 	401728785	 0.64 	2015
153	Hancock	629443428	227946274	 0.36 	401497154	 0.64 	2008
154	Fast Five	626137675	209837675	 0.34 	416300000	 0.66 	2011
155	Men in Black 3	624026776	179020854	 0.29 	445005922	 0.71 	2012
156	Iron Man 2	623933331	312433331	 0.50 	311500000	 0.50 	2010
157	Ratatouille	623726085	206445654	 0.33 	417280431	 0.67 	2007
158	Ant0Man and the Wasp	622674139	216648740	 0.35 	406025399	 0.65 	2018
159	How to Train Your Dragon 2	621537519	177002924	 0.28 	444534595	 0.72 	2014
160	Logan	619179950	226277068	 0.37 	392902882	 0.63 	2017
161	The Lost World: Jurassic Park	618638999	229086679	 0.37 	389552320	 0.63 	1997
162	Casino Royale	616502912	167445960	 0.27 	449056952	 0.73 	2006
163	The Passion of the Christ	612054506	370782930	 0.61 	241271576	 0.39 	2004
164	Mamma Mia!	611257819	144169664	 0.24 	467088155	 0.76 	2008
165	Life of Pi	609016565	124987023	 0.21 	484029542	 0.79 	2012
166	Transformers: The Last Knight	605425157	130168683	 0.22 	475256474	 0.78 	2017
167	Madagascar: Escape 2 Africa	603900354	180010950	 0.30 	423889404	 0.70 	2008
168	War of the Worlds	603873119	234280354	 0.39 	369592765	 0.61 	2005
169	Tangled	592462816	200821936	 0.34 	391640880	 0.66 	2010
170	Quantum of Solace	589580482	168368427	 0.29 	421212055	 0.71 	2008
171	Men in Black	589390539	250690539	 0.43 	338700000	 0.57 	1997
172	The Croods	587235983	187168425	 0.32 	400067558	 0.68 	2013
173	The Hangover Part II	586764305	254464305	 0.43 	332300000	 0.57 	2011
174	Iron Man	585796247	319034126	 0.54 	266762121	 0.46 	2008
175	I Am Legend	585410052	256393010	 0.44 	329017042	 0.56 	2007
176	Ready Player One	582893671	137690172	 0.24 	445203499	 0.76 	2018
177	Monsters Inc	579707738	290642256	 0.50 	289065482	 0.50 	2001
178	Operation Red Sea	579330426	1543547	 0.00 	577786879	 1.00 	2018
179	Night at the Museum	574481229	250863268	 0.44 	323617961	 0.56 	2006
180	Fifty Shades of Grey	569651467	166167230	 0.29 	403484237	 0.71 	2015
181	Kong: Skull Island	566652812	168052812	 0.30 	398600000	 0.70 	2017
182	The Smurfs	563749323	142614158	 0.25 	421135165	 0.75 	2011
183	Cars 2	559852396	191452396	 0.34 	368400000	 0.66 	2011
184	King Kong	556906378	218080025	 0.39 	338826353	 0.61 	2005
185	Puss in Boots	554987477	149260504	 0.27 	405726973	 0.73 	2011
186	The Mermaid	553810228	3232685	 0.01 	550577543	 0.99 	2016
187	Armageddon	553709788	201578182	 0.36 	352131606	 0.64 	1998
188	The Day After Tomorrow	552639571	186740799	 0.34 	365898772	 0.66 	2004
189	Ted	549368315	218815487	 0.40 	330552828	 0.60 	2012
190	American Sniper	547426372	350126372	 0.64 	197300000	 0.36 	2014
191	Mission: Impossible II	546388108	215409889	 0.39 	330978219	 0.61 	2000
192	Detective Chinatown 2	544185156	1983984	 0.00 	542201172	 1.00 	2018
193	X0Men: Apocalypse	543934105	155442489	 0.29 	388491616	 0.71 	2016
194	Sherlock Holmes: A Game of Shadows	543848418	186848418	 0.34 	357000000	 0.66 	2011
195	Despicable Me	543113985	251513985	 0.46 	291600000	 0.54 	2010
196	Cinderella	542358331	201151353	 0.37 	341206978	 0.63 	2015
197	Madagascar	542063846	193595521	 0.36 	348468325	 0.64 	2005
198	World War Z	540455876	202807711	 0.38 	337648165	 0.62 	2013
199	Brave	538983207	237283207	 0.44 	301700000	 0.56 	2012
200	Star Wars: Episode V 0 The Empire Strikes Back	538375067	292753960	 0.54 	245621107	 0.46 	1980
201	The Simpsons Movie	536414293	183135014	 0.34 	353279279	 0.66 	2007
202	The Revenant	532950503	183637894	 0.34 	349312609	 0.66 	2015
203	The Meg	530438278	145443742	 0.27 	384994536	 0.73 	2018
204	Ralph Breaks the Internet	529323962	201091711	 0.38 	328232251	 0.62 	2018
205	Hotel Transylvania 3: Summer Vacation	528583774	167510016	 0.32 	361073758	 0.68 	2018
206	The Boss Baby	527965936	175003033	 0.33 	352962903	 0.67 	2017
207	Dunkirk	527016307	189740665	 0.36 	337275642	 0.64 	2017
208	Godzilla	524976069	200676069	 0.38 	324300000	 0.62 	2014
209	How to Train Your Dragon: The Hidden World	524389083	160799505	 0.31 	363589578	 0.69 	2019
210	Sherlock Holmes	524028679	209028679	 0.40 	315000000	 0.60 	2009
211	Meet the Fockers	522657936	279261160	 0.53 	243396776	 0.47 	2004
212	WALL·E	521311890	223808164	 0.43 	297503726	 0.57 	2008
213	Kung Fu Panda 3	521170825	143528619	 0.28 	377642206	 0.72 	2016
214	Terminator 2: Judgment Day	520881154	205881154	 0.40 	315000000	 0.60 	1991
215	Ant0Man	519311965	180202163	 0.35 	339109802	 0.65 	2015
216	The Grinch	512568819	271094731	 0.53 	241474088	 0.47 	2018
217	Ghost	505703557	217631306	 0.43 	288072251	 0.57 	1990
218	Aladdin	504050219	217350219	 0.43 	286700000	 0.57 	1992
219	Venom: Let There Be Carnage	502050366	213550366	 0.43 	288500000	 0.57 	2021
220	Rio 2	498781117	131538435	 0.26 	367242682	 0.74 	2014
221	Troy	497409852	133378256	 0.27 	364031596	 0.73 	2004
222	Toy Story 2	497375381	245852179	 0.49 	251523202	 0.51 	1999
223	How to Train Your Dragon	494879471	217581231	 0.44 	277298240	 0.56 	2010
224	Twister	494471524	241721524	 0.49 	252750000	 0.51 	1996
225	Oz the Great and Powerful	493311825	234911825	 0.48 	258400000	 0.52 	2013
226	Clash of the Titans	493214993	163214888	 0.33 	330000105	 0.67 	2010
227	Maleficent: Mistress of Evil	491730089	113929605	 0.23 	377800484	 0.77 	2019
228	War for the Planet of the Apes	490719763	146880162	 0.30 	343839601	 0.70 	2017
229	Shrek	487853320	267665011	 0.55 	220188309	 0.45 	2001
230	Mr & Mrs Smith	487287646	186336279	 0.38 	300951367	 0.62 	2005
231	Angels & Demons	485930816	133375846	 0.27 	352554970	 0.73 	2009
232	Teenage Mutant Ninja Turtles	485004754	191204754	 0.39 	293800000	 0.61 	2014
233	Bruce Almighty	484592874	242829261	 0.50 	241763613	 0.50 	2003
234	Rio	483866518	143619809	 0.30 	340246709	 0.70 	2011
235	Saving Private Ryan	482349603	217049603	 0.45 	265300000	 0.55 	1998
236	Rise of the Planet of the Apes	481800873	176760185	 0.37 	305040688	 0.63 	2011
237	Water Gate Bridge	480051716	0	0.00	480051716	 1.00 	2022
238	Home Alone	476684675	285761243	 0.60 	190923432	 0.40 	1990
239	Hotel Transylvania 2	475186706	169700110	 0.36 	305486596	 0.64 	2015
240	Star Wars: Episode VI 0 Return of the Jedi	475106177	309306177	 0.65 	165800000	 0.35 	1983
241	Charlie and the Chocolate Factory	474968763	206459076	 0.43 	268509687	 0.57 	2005
242	Indiana Jones and the Last Crusade	474171806	197171806	 0.42 	277000000	 0.58 	1989
243	San Andreas	474009154	155190832	 0.33 	318818322	 0.67 	2015
244	It Chapter Two	473093228	211593228	 0.45 	261500000	 0.55 	2019
245	Jaws	471411300	260758300	 0.55 	210653000	 0.45 	1975
246	Wreck0It Ralph	471222889	189422889	 0.40 	281800000	 0.60 	2012
247	The Hangover	469310836	277322503	 0.59 	191988333	 0.41 	2009
248	Godzilla vs Kong	468216094	100916094	 0.22 	367300000	 0.78 	2021
249	The Lego Movie	468060692	257760692	 0.55 	210300000	 0.45 	2014
250	Bumblebee	467989645	127195589	 0.27 	340794056	 0.73 	2018
251	Star Trek Into Darkness	467365246	228778661	 0.49 	238586585	 0.51 	2013
252	The Matrix	467222728	172076928	 0.37 	295145800	 0.63 	1999
253	Gladiator	465380802	187705427	 0.40 	277675375	 0.60 	2000
254	Pretty Woman	463406268	178406268	 0.38 	285000000	 0.62 	1990
255	Cars	461991867	244082982	 0.53 	217908885	 0.47 	2006
256	The Eight Hundred	461421559	372755	 0.00 	461048804	 1.00 	2020
257	X0Men: The Last Stand	460435291	234362462	 0.51 	226072829	 0.49 	2006
258	National Treasure: Book of Secrets	459242249	219964115	 0.48 	239278134	 0.52 	2007
259	Lucy	458863600	126663600	 0.28 	332200000	 0.72 	2014
260	Mission: Impossible	457696391	180981856	 0.40 	276714535	 0.60 	1996
261	300	456068181	210614939	 0.46 	245453242	 0.54 	2007
262	Demon Slayer: Mugen Train	454779627	49505008	 0.11 	405274619	 0.89 	2020
263	The Last Samurai	454627263	111127263	 0.24 	343500000	 0.76 	2003
264	Dying to Survive	451183391	6752	 0.00 	451176639	 1.00 	2018
265	Ocean's Eleven	450717150	183417150	 0.41 	267300000	 0.59 	2001
266	My People My Country	450064993	2356683	 0.01 	447708310	 0.99 	2019
267	Thor	449326618	181030624	 0.40 	268295994	 0.60 	2011
268	Pearl Harbor	449220945	198542554	 0.44 	250678391	 0.56 	2001
269	La La Land	448906865	151101803	 0.34 	297805062	 0.66 	2016
270	Tarzan	448191819	171091819	 0.38 	277100000	 0.62 	1999
271	Men in Black II	445135288	193735288	 0.44 	251400000	 0.56 	2002
272	The Bourne Ultimatum	444100035	227471070	 0.51 	216628965	 0.49 	2007
273	The Mummy Returns	443280904	202019785	 0.46 	241261119	 0.54 	2001
274	Alvin and the Chipmunks: The Squeakquel	443140005	219614612	 0.50 	223525393	 0.50 	2009
275	Les Misérables	442299309	148809770	 0.34 	293489539	 0.66 	2012
276	The Exorcist	441306145	232906145	 0.53 	208400000	 0.47 	1973
277	Mrs Doubtfire	441286195	219195243	 0.50 	222090952	 0.50 	1993
278	Terminator Genisys	440603537	89760956	 0.20 	350842581	 0.80 	2015
279	Warcraft	439048914	47365290	 0.11 	391683624	 0.89 	2016
280	The Greatest Showman	436949634	174340174	 0.40 	262609460	 0.60 	2017
281	A Star Is Born	436188866	215288866	 0.49 	220900000	 0.51 	2018
282	Pokémon Detective Pikachu	433514834	144105346	 0.33 	289409488	 0.67 	2019
283	Terminator 3: Rise of the Machines	433371112	150371112	 0.35 	283000000	 0.65 	2003
284	Shang0Chi and the Legend of the Ten Rings	432243292	224543292	 0.52 	207700000	 0.48 	2021
285	Die Another Day	431971116	160942139	 0.37 	271028977	 0.63 	2002
286	The Secret Life of Pets 2	430051293	158874395	 0.37 	271176898	 0.63 	2019
287	Cast Away	429632142	233632142	 0.54 	196000000	 0.46 	2000
288	Rampage	428028233	101028233	 0.24 	327000000	 0.76 	2018
289	The King's Speech	427374317	138797449	 0.32 	288576868	 0.68 	2010
290	The Matrix Revolutions	427344325	139313948	 0.33 	288030377	 0.67 	2003
291	The Intouchables	426588510	10198820	 0.02 	416389690	 0.98 	2011
292	Bad Boys for Life	426505244	206305244	 0.48 	220200000	 0.52 	2020
293	Django Unchained	426074373	162805434	 0.38 	263268939	 0.62 	2012
294	Beauty and the Beast	424967620	218967620	 0.52 	206000000	 0.48 	1991
295	Dances with Wolves	424208848	184208848	 0.43 	240000000	 0.57 	1990
296	My People My Homeland	422390820	0	0.00	422390820	 1.00 	2020
297	The Chronicles of Narnia: Prince Caspian	419665568	141621490	 0.34 	278044078	 0.66 	2008
298	Sex and the City	418765519	152647258	 0.36 	266118261	 0.64 	2008
299	The Captain	417282021	706572	 0.00 	416575449	 1.00 	2019
300	The Mummy	415933406	155385488	 0.37 	260547918	 0.63 	1999
301	The Chronicles of Narnia: The Voyage of the Dawn Treader	415686217	104386950	 0.25 	311299267	 0.75 	2010
302	Jason Bourne	415484914	162434410	 0.39 	253050504	 0.61 	2016
303	The Wolverine	414828246	132556852	 0.32 	282271394	 0.68 	2013
304	Kingsman: The Secret Service	414351546	128261724	 0.31 	286089822	 0.69 	2015
305	Night at the Museum: Battle of the Smithsonian	413106170	177243721	 0.43 	235862449	 0.57 	2009
306	Batman	411508343	251348343	 0.61 	160160000	 0.39 	1989
307	The Bodyguard	411006740	122006740	 0.30 	289000000	 0.70 	1992
308	Pacific Rim	411002906	101802906	 0.25 	309200000	 0.75 	2013
309	Kingsman: The Golden Circle	410902662	100234838	 0.24 	310667824	 0.76 	2017
310	The Mummy	409231607	80227895	 0.20 	329003712	 0.80 	2017
311	Ice Age 5: Collision Course	408754975	64063008	 0.16 	344691967	 0.84 	2016
312	Twilight	408430415	193962473	 0.47 	214467942	 0.53 	2008
313	Signs	408247917	227966634	 0.56 	180281283	 0.44 	2002
314	X2: X0Men United	407711549	214949694	 0.53 	192761855	 0.47 	2003
315	Alita: Battle Angel	404980543	85838210	 0.21 	319142333	 0.79 	2019
316	The Mummy: Tomb of the Dragon Emperor	403449830	102491776	 0.25 	300958054	 0.75 	2008
317	Prometheus	403354469	126477084	 0.31 	276877385	 0.69 	2012
318	Gone with the Wind	402352579	200852579	 0.50 	201500000	 0.50 	1939
319	Mamma Mia! Here We Go Again	402254384	120634935	 0.30 	281619449	 0.70 	2018
320	Eternals	402064899	164870234	 0.41 	237194665	 0.59 	2021
321	Dune	400375904	108031945	 0.27 	292343959	 0.73 	2021
322	TRON: Legacy	400063852	172062763	 0.43 	228001089	 0.57 	2010
323	Mission: Impossible III	398479497	134029801	 0.34 	264449696	 0.66 	2006
324	Snow White and the Huntsman	396592829	155332381	 0.39 	241260448	 0.61 	2012
325	Grease	396271103	190071103	 0.48 	206200000	 0.52 	1978
326	Toy Story	394436586	223225679	 0.57 	171210907	 0.43 	1995
327	Solo: A Star Wars Story	392924807	213767512	 0.54 	179157295	 0.46 	2018
328	The Wolf of Wall Street	392000694	116900694	 0.30 	275100000	 0.70 	2013
329	Superman Returns	391081192	200081192	 0.51 	191000000	 0.49 	2006
330	Robin Hood: Prince of Thieves	390493908	165493908	 0.42 	225000000	 0.58 	1991
331	Indiana Jones and the Raiders of the Lost Ark	389925971	248159971	 0.64 	141766000	 0.36 	1981
332	Independence Day: Resurgence	389681935	103144286	 0.26 	286537649	 0.74 	2016
333	Live Free or Die Hard	388156011	134529403	 0.35 	253626608	 0.65 	2007
334	Monster Hunt	387053506	32766	 0.00 	387020740	 1.00 	2015
335	Godzilla: King of the Monsters	386600138	110500138	 0.29 	276100000	 0.71 	2019
336	Home	386041607	177397510	 0.46 	208644097	 0.54 	2015
337	Star Trek	385680446	257730019	 0.67 	127950427	 0.33 	2009
338	1917	384919389	159227644	 0.41 	225691745	 0.59 	2019
339	Happy Feet	384336108	198000317	 0.52 	186335791	 0.48 	2006
340	Cars 3	383930656	152901115	 0.40 	231029541	 0.60 	2017
341	Ice Age	383257136	176387405	 0.46 	206869731	 0.54 	2002
342	Back to the Future	381906762	211406762	 0.55 	170500000	 0.45 	1985
343	Fifty Shades Darker	381545846	114581250	 0.30 	266964596	 0.70 	2017
344	Monsters vs Aliens	381509870	198351526	 0.52 	183158344	 0.48 	2009
345	Black Widow	379751655	183651655	 0.48 	196100000	 0.52 	2021
346	Godzilla	379014294	136314294	 0.36 	242700000	 0.64 	1998
347	True Lies	378882411	146282411	 0.39 	232600000	 0.61 	1994
348	Slumdog Millionaire	378410542	141319928	 0.37 	237090614	 0.63 	2008
349	Taken 2	376152455	139854287	 0.37 	236298168	 0.63 	2012
350	GI Joe: Retaliation	375740705	122523060	 0.33 	253217645	 0.67 	2013
351	Mad Max: Fury Road	375658750	154058340	 0.41 	221600410	 0.59 	2015
352	Spider0Man: Into the Spider0Verse	375540831	190241310	 0.51 	185299521	 0.49 	2018
353	Shark Tale	374583879	160861908	 0.43 	213721971	 0.57 	2004
354	Once Upon a Time In Hollywood	374565754	142502728	 0.38 	232063026	 0.62 	2019
355	What Women Want	374111707	182811707	 0.49 	191300000	 0.51 	2000
356	The Adventures of Tintin	373993951	77591831	 0.21 	296402120	 0.79 	2011
357	Batman Begins	373661946	206852432	 0.55 	166809514	 0.45 	2005
358	Penguins of Madagascar	373515621	83850911	 0.22 	289664710	 0.78 	2014
359	X0Men Origins: Wolverine	373062864	179883157	 0.48 	193179707	 0.52 	2009
360	The Golden Compass	372234864	70107728	 0.19 	302127136	 0.81 	2007
361	Fifty Shades Freed	371987838	100407760	 0.27 	271580078	 0.73 	2018
362	Hitch	371594210	179495555	 0.48 	192098655	 0.52 	2005
363	Terminator Salvation	371353001	125322469	 0.34 	246030532	 0.66 	2009
364	Captain America: The First Avenger	370569774	176654505	 0.48 	193915269	 0.52 	2011
365	Edge of Tomorrow	370541256	100206256	 0.27 	270335000	 0.73 	2014
366	There's Something About Mary	369884651	176484651	 0.48 	193400000	 0.52 	1998
367	Gone Girl	369330363	167767189	 0.45 	201563174	 0.55 	2014
368	The Fugitive	368875760	183875760	 0.50 	185000000	 0.50 	1993
369	Jurassic Park III	368780809	181171875	 0.49 	187608934	 0.51 	2001
370	My Big Fat Greek Wedding	368744044	241438208	 0.65 	127305836	 0.35 	2002
371	Hello Mr Billionaire	366961907	0	0.00	366961907	 1.00 	2018
372	Die Hard with a Vengeance	366101666	100012499	 0.27 	266089167	 0.73 	1995
373	Shazam!	365971656	140371656	 0.38 	225600000	 0.62 	2019
374	The Nun	365551694	117450119	 0.32 	248101575	 0.68 	2018
375	Alvin and the Chipmunks	365352546	217326974	 0.59 	148025572	 0.41 	2007
376	Notting Hill	363889678	116089678	 0.32 	247800000	 0.68 	1999
377	Tenet	363656624	58456624	 0.16 	305200000	 0.84 	2020
378	A Bug's Life	363258859	162798565	 0.45 	200460294	 0.55 	1998
379	Night at the Museum: Secret of the Tomb	363204635	113746621	 0.31 	249458014	 0.69 	2014
380	Ocean's Twelve	362744280	125544280	 0.35 	237200000	 0.65 	2004
381	Planet of the Apes	362211740	180011740	 0.50 	182200000	 0.50 	2001
382	The Hangover Part III	362000072	112200072	 0.31 	249800000	 0.69 	2013
383	The World Is Not Enough	361832400	126943684	 0.35 	234888716	 0.65 	1999
384	Monster Hunt 2	361682618	706153	 0.00 	360976465	 1.00 	2018
385	Fast & Furious	360366870	155064265	 0.43 	205302605	 0.57 	2009
386	Noah	359200044	101200044	 0.28 	258000000	 0.72 	2014
387	The Karate Kid	359126022	176591618	 0.49 	182534404	 0.51 	2010
388	Home Alone 2: Lost in New York	358994850	173585516	 0.48 	185409334	 0.52 	1992
389	Hotel Transylvania	358375603	148313048	 0.41 	210062555	 0.59 	2012
390	Minority Report	358372926	132072926	 0.37 	226300000	 0.63 	2002
391	Your Name	358180115	5017246	 0.01 	353162869	 0.99 	2016
392	Top Gun	357288178	180258178	 0.50 	177030000	 0.50 	1986
393	The Legend of Tarzan	356700357	126643061	 0.36 	230057296	 0.64 	2016
394	American Beauty	356296601	130096601	 0.37 	226200000	 0.63 	1999
395	Spirited Away	355697283	13750644	 0.04 	341946639	 0.96 	2001
396	Apollo 13	355237933	173837933	 0.49 	181400000	 0.51 	1995
397	Rain Man	354825435	172825435	 0.49 	182000000	 0.51 	1988
398	The Great Gatsby	353642274	144840419	 0.41 	208801855	 0.59 	2013
399	Dumbo	353284621	114766307	 0.32 	238518314	 0.68 	2019
400	I Robot	353133898	144801023	 0.41 	208332875	 0.59 	2004
401	Basic Instinct	352927224	117727224	 0.33 	235200000	 0.67 	1992
402	Murder on the Orient Express	352794081	102826543	 0.29 	249967538	 0.71 	2017
403	X0Men: First Class	352616690	146408305	 0.42 	206208385	 0.58 	2011
404	The Angry Birds Movie	352333929	107509366	 0.31 	244824563	 0.69 	2016
405	GoldenEye	352194034	106429941	 0.30 	245764093	 0.70 	1995
406	Catch Me If You Can	352114312	164615351	 0.47 	187498961	 0.53 	2002
